time_ns,vin_code,cmp_out,logic_out
10000000,4000,1,1
20000000,4000,1,1
30000000,4000,1,1
40000000,4000,1,1
50000000,4000,1,1
60000000,4000,1,1
70000000,4000,1,1
80000000,4000,1,1
90000000,4000,1,1
100000000,4000,1,1
110000000,4000,1,1
120000000,4000,1,1
130000000,4000,1,1
140000000,4000,1,1
150000000,4000,1,1
160000000,4000,1,1
170000000,4000,1,1
180000000,4000,1,1
190000000,4000,1,1
200000000,4000,1,1
210000000,4000,1,1
220000000,4000,1,1
230000000,4000,1,1
240000000,4000,1,1
250000000,4000,1,1
260000000,4000,1,1
270000000,4000,1,1
280000000,4000,1,1
290000000,4000,1,1
300000000,4000,1,1
310000000,4000,1,1
320000000,4000,1,1
330000000,4000,1,1
340000000,4000,1,1
350000000,4000,1,1
360000000,4000,1,1
370000000,4000,1,1
380000000,4000,1,1
390000000,4000,1,1
400000000,4000,1,1
410000000,4000,1,1
420000000,4000,1,1
430000000,4000,1,1
440000000,4000,1,1
450000000,4000,1,1
460000000,4000,1,1
470000000,4000,1,1
480000000,4000,1,1
490000000,4000,1,1
500000000,4000,1,1
510000000,0,0,1
520000000,0,0,1
530000000,0,0,1
540000000,0,0,1
550000000,0,0,1
560000000,0,0,1
570000000,0,0,1
580000000,0,0,1
590000000,0,0,1
600000000,0,0,1
610000000,0,0,0
620000000,0,0,0
630000000,0,0,0
640000000,0,0,0
650000000,0,0,0
660000000,0,0,0
670000000,0,0,0
680000000,0,0,0
690000000,0,0,0
700000000,0,0,0
710000000,0,0,0
720000000,0,0,0
730000000,0,0,0
740000000,0,0,0
750000000,0,0,0
760000000,0,0,0
770000000,0,0,0
780000000,0,0,0
790000000,0,0,0
800000000,0,0,0
810000000,0,0,0
820000000,0,0,0
830000000,0,0,0
840000000,0,0,0
850000000,0,0,0
860000000,0,0,0
870000000,0,0,0
880000000,0,0,0
890000000,0,0,0
900000000,0,0,0
910000000,0,0,0
920000000,0,0,0
930000000,0,0,0
940000000,0,0,0
950000000,0,0,0
960000000,0,0,0
970000000,0,0,0
980000000,0,0,0
990000000,0,0,0
1000000000,0,0,0
1010000000,0,0,0
1020000000,0,0,0
1030000000,0,0,0
1040000000,0,0,0
1050000000,0,0,0
1060000000,0,0,0
1070000000,0,0,0
1080000000,0,0,0
1090000000,0,0,0
1100000000,0,0,0
1110000000,0,0,0
1120000000,0,0,0
1130000000,0,0,0
1140000000,0,0,0
1150000000,0,0,0
1160000000,0,0,0
1170000000,0,0,0
1180000000,0,0,0
1190000000,0,0,0
1200000000,0,0,0
1210000000,0,0,0
1220000000,0,0,0
1230000000,0,0,0
1240000000,0,0,0
1250000000,0,0,0
1260000000,0,0,0
1270000000,0,0,0
1280000000,0,0,0
1290000000,0,0,0
1300000000,0,0,0
1310000000,0,0,0
1320000000,0,0,0
1330000000,0,0,0
1340000000,0,0,0
1350000000,0,0,0
1360000000,0,0,0
1370000000,0,0,0
1380000000,0,0,0
1390000000,0,0,0
1400000000,0,0,0
1410000000,0,0,0
1420000000,0,0,0
1430000000,0,0,0
1440000000,0,0,0
1450000000,0,0,0
1460000000,0,0,0
1470000000,0,0,0
1480000000,0,0,0
1490000000,0,0,0
1500000000,0,0,0
1510000000,0,0,0
1520000000,0,0,0
1530000000,0,0,0
1540000000,0,0,0
1550000000,0,0,0
1560000000,0,0,0
1570000000,0,0,0
1580000000,0,0,0
1590000000,0,0,0
1600000000,0,0,0
1610000000,0,0,0
1620000000,0,0,0
1630000000,0,0,0
1640000000,0,0,0
1650000000,0,0,0
1660000000,0,0,0
1670000000,0,0,0
1680000000,0,0,0
1690000000,0,0,0
1700000000,0,0,0
1710000000,0,0,0
1720000000,0,0,0
1730000000,0,0,0
1740000000,0,0,0
1750000000,0,0,0
1760000000,0,0,0
1770000000,0,0,0
1780000000,0,0,0
1790000000,0,0,0
1800000000,0,0,0
1810000000,0,0,0
1820000000,0,0,0
1830000000,0,0,0
1840000000,0,0,0
1850000000,0,0,0
1860000000,0,0,0
1870000000,0,0,0
1880000000,0,0,0
1890000000,0,0,0
1900000000,0,0,0
1910000000,0,0,0
1920000000,0,0,0
1930000000,0,0,0
1940000000,0,0,0
1950000000,0,0,0
1960000000,0,0,0
1970000000,0,0,0
1980000000,0,0,0
1990000000,0,0,0
2000000000,0,0,0
2010000000,0,0,0
2020000000,0,0,0
2030000000,0,0,0
2040000000,0,0,0
2050000000,0,0,0
2060000000,0,0,0
2070000000,0,0,0
2080000000,0,0,0
2090000000,0,0,0
2100000000,0,0,0
2110000000,0,0,0
2120000000,0,0,0
2130000000,0,0,0
2140000000,0,0,0
2150000000,0,0,0
2160000000,0,0,0
2170000000,0,0,0
2180000000,0,0,0
2190000000,0,0,0
2200000000,0,0,0
2210000000,0,0,0
2220000000,0,0,0
2230000000,0,0,0
2240000000,0,0,0
2250000000,0,0,0
2260000000,0,0,0
2270000000,0,0,0
2280000000,0,0,0
2290000000,0,0,0
2300000000,0,0,0
2310000000,0,0,0
2320000000,0,0,0
2330000000,0,0,0
2340000000,0,0,0
2350000000,0,0,0
2360000000,0,0,0
2370000000,0,0,0
2380000000,0,0,0
2390000000,0,0,0
2400000000,0,0,0
2410000000,0,0,0
2420000000,0,0,0
2430000000,0,0,0
2440000000,0,0,0
2450000000,0,0,0
2460000000,0,0,0
2470000000,0,0,0
2480000000,0,0,0
2490000000,0,0,0
2500000000,0,0,0
2510000000,0,0,0
2520000000,0,0,0
2530000000,0,0,0
2540000000,0,0,0
2550000000,0,0,0
2560000000,0,0,0
2570000000,0,0,0
2580000000,0,0,0
2590000000,0,0,0
2600000000,0,0,0
2610000000,0,0,0
2620000000,0,0,0
2630000000,0,0,0
2640000000,0,0,0
2650000000,0,0,0
2660000000,0,0,0
2670000000,0,0,0
2680000000,0,0,0
2690000000,0,0,0
2700000000,0,0,0
2710000000,0,0,0
2720000000,0,0,0
2730000000,0,0,0
2740000000,0,0,0
2750000000,0,0,0
2760000000,0,0,0
2770000000,0,0,0
2780000000,0,0,0
2790000000,0,0,0
2800000000,0,0,0
2810000000,0,0,0
2820000000,0,0,0
2830000000,0,0,0
2840000000,0,0,0
2850000000,0,0,0
2860000000,0,0,0
2870000000,0,0,0
2880000000,0,0,0
2890000000,0,0,0
2900000000,0,0,0
2910000000,0,0,0
2920000000,0,0,0
2930000000,0,0,0
2940000000,0,0,0
2950000000,0,0,0
2960000000,0,0,0
2970000000,0,0,0
2980000000,0,0,0
2990000000,0,0,0
3000000000,0,0,0
3010000000,0,0,0
3020000000,0,0,0
3030000000,0,0,0
3040000000,0,0,0
3050000000,0,0,0
3060000000,0,0,0
3070000000,0,0,0
3080000000,0,0,0
3090000000,0,0,0
3100000000,0,0,0
3110000000,0,0,0
3120000000,0,0,0
3130000000,0,0,0
3140000000,0,0,0
3150000000,0,0,0
3160000000,0,0,0
3170000000,0,0,0
3180000000,0,0,0
3190000000,0,0,0
3200000000,0,0,0
3210000000,0,0,0
3220000000,0,0,0
3230000000,0,0,0
3240000000,0,0,0
3250000000,0,0,0
3260000000,0,0,0
3270000000,0,0,0
3280000000,0,0,0
3290000000,0,0,0
3300000000,0,0,0
3310000000,0,0,0
3320000000,0,0,0
3330000000,0,0,0
3340000000,0,0,0
3350000000,0,0,0
3360000000,0,0,0
3370000000,0,0,0
3380000000,0,0,0
3390000000,0,0,0
3400000000,0,0,0
3410000000,0,0,0
3420000000,0,0,0
3430000000,0,0,0
3440000000,0,0,0
3450000000,0,0,0
3460000000,0,0,0
3470000000,0,0,0
3480000000,0,0,0
3490000000,0,0,0
3500000000,0,0,0
3510000000,0,0,0
3520000000,0,0,0
3530000000,0,0,0
3540000000,0,0,0
3550000000,0,0,0
3560000000,0,0,0
3570000000,0,0,0
3580000000,0,0,0
3590000000,0,0,0
3600000000,0,0,0
3610000000,0,0,0
3620000000,0,0,0
3630000000,0,0,0
3640000000,0,0,0
3650000000,0,0,0
3660000000,0,0,0
3670000000,0,0,0
3680000000,0,0,0
3690000000,0,0,0
3700000000,0,0,0
3710000000,0,0,0
3720000000,0,0,0
3730000000,0,0,0
3740000000,0,0,0
3750000000,0,0,0
3760000000,0,0,0
3770000000,0,0,0
3780000000,0,0,0
3790000000,0,0,0
3800000000,0,0,0
3810000000,0,0,0
3820000000,0,0,0
3830000000,0,0,0
3840000000,0,0,0
3850000000,0,0,0
3860000000,0,0,0
3870000000,0,0,0
3880000000,0,0,0
3890000000,0,0,0
3900000000,0,0,0
3910000000,0,0,0
3920000000,0,0,0
3930000000,0,0,0
3940000000,0,0,0
3950000000,0,0,0
3960000000,0,0,0
3970000000,0,0,0
3980000000,0,0,0
3990000000,0,0,0
4000000000,0,0,0
4010000000,0,0,0
4020000000,0,0,0
4030000000,0,0,0
4040000000,0,0,0
4050000000,0,0,0
4060000000,0,0,0
4070000000,0,0,0
4080000000,0,0,0
4090000000,0,0,0
4100000000,0,0,0
4110000000,0,0,0
4120000000,0,0,0
4130000000,0,0,0
4140000000,0,0,0
4150000000,0,0,0
4160000000,0,0,0
4170000000,0,0,0
4180000000,0,0,0
4190000000,0,0,0
4200000000,0,0,0
4210000000,0,0,0
4220000000,0,0,0
4230000000,0,0,0
4240000000,0,0,0
4250000000,0,0,0
4260000000,0,0,0
4270000000,0,0,0
4280000000,0,0,0
4290000000,0,0,0
4300000000,0,0,0
4310000000,0,0,0
4320000000,0,0,0
4330000000,0,0,0
4340000000,0,0,0
4350000000,0,0,0
4360000000,0,0,0
4370000000,0,0,0
4380000000,0,0,0
4390000000,0,0,0
4400000000,0,0,0
4410000000,0,0,0
4420000000,0,0,0
4430000000,0,0,0
4440000000,0,0,0
4450000000,0,0,0
4460000000,0,0,0
4470000000,0,0,0
4480000000,0,0,0
4490000000,0,0,0
4500000000,0,0,0
4510000000,0,0,0
4520000000,0,0,0
4530000000,0,0,0
4540000000,0,0,0
4550000000,0,0,0
4560000000,0,0,0
4570000000,0,0,0
4580000000,0,0,0
4590000000,0,0,0
4600000000,0,0,0
4610000000,0,0,0
4620000000,0,0,0
4630000000,0,0,0
4640000000,0,0,0
4650000000,0,0,0
4660000000,0,0,0
4670000000,0,0,0
4680000000,0,0,0
4690000000,0,0,0
4700000000,0,0,0
4710000000,0,0,0
4720000000,0,0,0
4730000000,0,0,0
4740000000,0,0,0
4750000000,0,0,0
4760000000,0,0,0
4770000000,0,0,0
478000